capture_time sport dport ssrc seq ts delta_ts delta_frames ft q payload_len payload_hex
5.375173 4010 4000 1341999343 3996 3603273333 160 1 2 1 16 f16ca87e069960de94755fc6cfe6facb
5.392785 4000 4010 1758153794 18335 2511043440 160 1 2 1 16 f14f687e0700e6387c76e7f696264247
5.395494 4010 4000 1341999343 3997 3603273493 160 1 2 1 16 f14f687e0700e6387c76e7f696264247
5.412122 4000 4010 1758153794 18336 2511043600 160 1 2 1 16 f16cadbe0699605e1c74e7c43908cd19
5.414837 4010 4000 1341999343 3998 3603273653 160 1 2 1 16 f16cadbe0699605e1c74e7c43908cd19
5.432502 4000 4010 1758153794 18337 2511043760 160 1 2 1 16 f14f66be0780662c3c7507f921ba0498
5.435150 4010 4000 1341999343 3999 3603273813 160 1 2 1 16 f14f66be0780662c3c7507f921ba0498
5.452794 4000 4010 1758153794 18338 2511043920 160 1 2 1 16 f16cadbe0619e0fda474bfc393520a65
5.455480 4010 4000 1341999343 4000 3603273973 160 1 2 1 16 f16cadbe0619e0fda474bfc393520a65
5.472166 4000 4010 1758153794 18339 2511044080 160 1 2 1 16 f14f687e068166387c71e6f2e550752f
5.474830 4010 4000 1341999343 4001 3603274133 160 1 2 1 16 f14f687e068166387c71e6f2e550752f
5.492501 4000 4010 1758153794 18340 2511044240 160 1 2 1 16 f16c89f481d658271666c9bf6242c846
5.495131 4010 4000 1341999343 4002 3603274293 160 1 2 1 16 f16c89f481d658271666c9bf6242c846
5.512840 4000 4010 1758153794 18341 2511044400 160 1 2 1 16 f17a6386a3faee7bbe64efdf28811509
5.515509 4010 4000 1341999343 4003 3603274453 160 1 2 1 16 f17a6386a3faee7bbe64efdf28811509
5.532204 4000 4010 1758153794 18342 2511044560 160 1 2 1 16 f151e35e7ffff9fefe67feb749cdc633
5.534792 4010 4000 1341999343 4004 3603274613 160 1 2 1 16 f151e35e7ffff9fefe67feb749cdc633
5.552515 4000 4010 1758153794 18343 2511044720 160 1 2 1 16 f147f53e7ffff9fe7e67fcf3fe979b2b
5.555092 4010 4000 1341999343 4005 3603274773 160 1 2 1 16 f147f53e7ffff9fe7e67fcf3fe979b2b
5.572869 4000 4010 1758153794 18344 2511044880 160 1 2 1 16 f147635e7ffff9fbfe67fe39c9f8a21d
5.575486 4010 4000 1341999343 4006 3603274933 160 1 2 1 16 f147635e7ffff9fbfe67fe39c9f8a21d
5.592253 4000 4010 1758153794 18345 2511045040 160 1 2 1 16 f17ff53e7ffff9fcfe67fdb6b6def7a8
5.594809 4010 4000 1341999343 4007 3603275093 160 1 2 1 16 f17ff53e7ffff9fcfe67fdb6b6def7a8
5.612562 4000 4010 1758153794 18346 2511045200 160 1 2 1 16 f147635e7ffff9fafe67fe3bf2be8e5d
5.615114 4010 4000 1341999343 4008 3603275253 160 1 2 1 16 f147635e7ffff9fafe67fe3bf2be8e5d
5.632930 4000 4010 1758153794 18347 2511045360 160 1 2 1 16 f17ff53e7ffff9fafe67febafffa0bee
5.635411 4010 4000 1341999343 4009 3603275413 160 1 2 1 16 f17ff53e7ffff9fafe67febafffa0bee
5.652315 4000 4010 1758153794 18348 2511045520 160 1 2 1 16 f147635e7ffff9fafe67febbaaaf1fae
5.654860 4010 4000 1341999343 4010 3603275573 160 1 2 1 16 f147635e7ffff9fafe67febbaaaf1fae
10.652006 4000 4010 1758153794 18349 2511085520 40000 250 15 1 2 f7c0
10.655418 4010 4000 1341999343 4011 3603315573 40000 250 15 1 2 f7c0
15.652009 4000 4010 1758153794 18350 2511125520 40000 250 8 1 7 f449b1e0da0500
15.655180 4010 4000 1341999343 4012 3603355573 40000 250 8 1 7 f449b1e0da0500
20.652210 4000 4010 1758153794 18351 2511165520 40000 250 15 1 2 f7c0
20.654856 4010 4000 1341999343 4013 3603395573 40000 250 15 1 2 f7c0
25.652657 4000 4010 1758153794 18352 2511205520 40000 250 15 1 2 f7c0
25.655165 4010 4000 1341999343 4014 3603435573 40000 250 15 1 2 f7c0
30.652645 4000 4010 1758153794 18353 2511245520 40000 250 15 1 2 f7c0
30.654570 4010 4000 1341999343 4015 3603475573 40000 250 15 1 2 f7c0
35.652030 4000 4010 1758153794 18354 2511285520 40000 250 8 1 7 f449b1e0da0500
35.655055 4010 4000 1341999343 4016 3603515573 40000 250 8 1 7 f449b1e0da0500
40.652237 4000 4010 1758153794 18355 2511325520 40000 250 15 1 2 f7c0
40.654853 4010 4000 1341999343 4017 3603555573 40000 250 15 1 2 f7c0
